0x77,0x77,0x7A,0x04	"刷写指纹信息: "
0x06,0xC4,0x50,0x02	"全闭"
0x06,0xC4,0x50,0x01	"全开"
0x06,0xC4,0x50,0x46	"故障"
0x06,0xC4,0x50,0x45	"运行"
0x06,0xC4,0x50,0x44	"启动"
0x06,0xC4,0x50,0x43	"停止"
0x06,0xC4,0x50,0x42	"PEU处于Inverter快速放电状态"
0x06,0xC4,0x50,0x41	"Inverter 处于不可恢复故障模式"
0x06,0xC4,0x50,0x40	"Inverter处于可恢复故障模式"
0x06,0xC4,0x40,0x05	"例程失败"
0x06,0xC4,0x40,0x04	"例程完成"
0x06,0xC4,0x40,0x03	"例程进行中..."
0x06,0xC4,0x40,0x02	"例程开启失败"
0x06,0xC4,0x40,0x01	"例程开启成功"
0x06,0xC4,0x41,0x02	"停止"
0x06,0xC4,0x41,0x01	"开启"
0x06,0xC4,0x44,0x0F	"清除BMS碰撞标志"
0x06,0xC4,0x44,0x0E	"电池风扇启停测试"
0x06,0xC4,0x44,0x0D	"EPL锁止/解锁位置初始化"
0x06,0xC4,0x44,0x0C	"EPL机构启停测试"
0x06,0xC4,0x44,0x0B	"油泵电机启停测试"
0x06,0xC4,0x44,0x0A	"小电机E1启停测试"
0x06,0xC4,0x44,0x09	"大电机E2启停测试"
0x06,0xC4,0x44,0x08	"发动机启停测试"
0x06,0xC4,0x44,0x07	"BMS过充维护"
0x06,0xC4,0x44,0x06	"刹车灯继电器启停测试"
0x06,0xC4,0x44,0x05	"倒车灯继电器启停测试"
0x06,0xC4,0x44,0x04	"PEU IG继电器启停测试"
0x06,0xC4,0x44,0x03	"HCU继电器启停测试"
0x06,0xC4,0x44,0x02	"调压阀启停测试"
0x06,0xC4,0x44,0x01	"换档阀启停测试"
0x06,0xC3,0x10,0x02	"读故障码库"
0x06,0xC3,0x10,0x01	"读故障码"
0x06,0xC3,0x00,0x15	"无初始化请求"
0x06,0xC3,0x00,0x14	"有初始化请求"
0x06,0xC3,0x00,0x13	"故障"
0x06,0xC3,0x00,0x12	"位置不确定状态"
0x06,0xC3,0x00,0x11	"成功解除驻车"
0x06,0xC3,0x00,0x10	"正在驻车"
0x06,0xC3,0x00,0x0F	"正在解除驻车"
0x06,0xC3,0x00,0x0E	"驻车成功"
0x06,0xC3,0x00,0x0D	"读数据流"
0x06,0xC3,0x00,0x0C	"ECU安装日期:"
0x06,0xC3,0x00,0x0B	"ECU系统名称或发动机类型:"
0x06,0xC3,0x00,0x0A	"ECU软件版本号:"
0x06,0xC3,0x00,0x09	"ECU硬件版本号:"
0x06,0xC3,0x00,0x08	"车辆识别号（VIN码）:"
0x06,0xC3,0x00,0x07	"ECU序列号:"
0x06,0xC3,0x00,0x06	"ECU生产日期:"
0x06,0xC3,0x00,0x05	"供应商代码:"
0x06,0xC3,0x00,0x04	"零件号:"
0x06,0xC3,0x00,0x03	"驱动层软件版本:"
0x06,0xC3,0x00,0x02	"车辆名称:"
0x06,0xC3,0x00,0x01	"读版本信息"
0x06,0xC3,0x40,0x01	"电子手刹电机位置控制"
0x06,0xC3,0x41,0x02	"非停车"
0x06,0xC3,0x41,0x01	"停车"
0x06,0xC1,0x00,0x28	"failure"
0x06,0xC1,0x00,0x27	"open/ close"
0x06,0xC1,0x00,0x26	"all cloesd"
0x06,0xC1,0x00,0x25	"all open"
0x06,0xC1,0x00,0x24	"KL15 ON"
0x06,0xC1,0x00,0x23	"KL15 OFF"
0x06,0xC1,0x00,0x22	"Discharge"
0x06,0xC1,0x00,0x21	"UdcCtl"
0x06,0xC1,0x00,0x20	"IdcCtl"
0x06,0xC1,0x00,0x1F	"TrqCtl"
0x06,0xC1,0x00,0x1E	"nCtlIntern"
0x06,0xC1,0x00,0x1D	"nCtlExtern"
0x06,0xC1,0x00,0x1C	"alOffsetCal"
0x06,0xC1,0x00,0x1B	"Standby"
0x06,0xC1,0x00,0x1A	"Precharge"
0x06,0xC1,0x00,0x19	"true"
0x06,0xC1,0x00,0x18	"false"
0x06,0xC1,0x00,0x17	"CANMin"
0x06,0xC1,0x00,0x16	"CANMax"
0x06,0xC1,0x00,0x15	"nLim"
0x06,0xC1,0x00,0x14	"UdcMin"
0x06,0xC1,0x00,0x13	"UdcMax"
0x06,0xC1,0x00,0x12	"IdcMin"
0x06,0xC1,0x00,0x11	"IdcMax"
0x06,0xC1,0x00,0x10	"TIGBTMax"
0x06,0xC1,0x00,0x0F	"TRtrMax"
0x06,0xC1,0x00,0x0E	"TSttrMax"
0x06,0xC1,0x00,0x0D	"OpRngElmGen"
0x06,0xC1,0x00,0x0C	"OpRngElmMot"
0x06,0xC1,0x00,0x0B	"Inactive"
0x06,0xC1,0x00,0x0A	"读数据流"
0x06,0xC1,0x00,0x09	"ECU安装日期:"
0x06,0xC1,0x00,0x08	"ECU软件版本号:"
0x06,0xC1,0x00,0x07	"ECU硬件版本号:"
0x06,0xC1,0x00,0x06	"车辆识别号（VIN码）:"
0x06,0xC1,0x00,0x05	"供应商代码:"
0x06,0xC1,0x00,0x04	"Geely软件版本号:"
0x06,0xC1,0x00,0x03	"零件号:"
0x06,0xC1,0x00,0x02	"车辆名称:"
0x06,0xC1,0x00,0x01	"读版本信息"
0x06,0xC1,0x70,0x06	"写入标定角度失败!"
0x06,0xC1,0x70,0x05	"写入标定角度成功"
0x06,0xC1,0x70,0x04	"请再次输入标定角度(单位:°)"
0x06,0xC1,0x70,0x03	"是否进行标定角度？"
0x06,0xC1,0x70,0x02	"请输入标定角度(单位:°)"
0x06,0xC1,0x70,0x01	"标定角度"
0x06,0xC1,0x40,0x03	"定子温度"
0x06,0xC1,0x40,0x02	"冷却泵控制"
0x06,0xC1,0x40,0x01	"紧急关断标志位"
0x06,0xC0,0x00,0x31	"IdcMin "
0x06,0xC0,0x00,0x30	"KL15 on  "
0x06,0xC0,0x00,0x2F	"KL15 off  "
0x06,0xC0,0x00,0x2E	"Discharge"
0x06,0xC0,0x00,0x2D	"UdcCtl"
0x06,0xC0,0x00,0x2C	"IdcCtl "
0x06,0xC0,0x00,0x2B	"TrqCtl "
0x06,0xC0,0x00,0x2A	"nCtlIntern "
0x06,0xC0,0x00,0x29	"nCtlExtern"
0x06,0xC0,0x00,0x28	"alOffsetCal "
0x06,0xC0,0x00,0x27	"Precharge "
0x06,0xC0,0x00,0x26	"CANMin  "
0x06,0xC0,0x00,0x25	"CANMax"
0x06,0xC0,0x00,0x24	"nLim"
0x06,0xC0,0x00,0x23	"UdcMin"
0x06,0xC0,0x00,0x22	"UdcMax "
0x06,0xC0,0x00,0x21	"IdcMax"
0x06,0xC0,0x00,0x20	"TIGBTMax "
0x06,0xC0,0x00,0x1F	"TRtrMax "
0x06,0xC0,0x00,0x1E	"TSttrMax "
0x06,0xC0,0x00,0x1D	"OpRngElmGen "
0x06,0xC0,0x00,0x1C	"OpRngElmMot "
0x06,0xC0,0x00,0x1B	"Inactive "
0x06,0xC0,0x00,0x1A	"true "
0x06,0xC0,0x00,0x19	"false "
0x06,0xC0,0x00,0x18	"Failure "
0x06,0xC0,0x00,0x17	"DC Link Discharge "
0x06,0xC0,0x00,0x16	"buck "
0x06,0xC0,0x00,0x15	"reserved "
0x06,0xC0,0x00,0x14	"standby "
0x06,0xC0,0x00,0x13	"读数据流"
0x06,0xC0,0x00,0x12	"ECU尝试刷写次数:"
0x06,0xC0,0x00,0x11	"ECU成功刷写次数:"
0x06,0xC0,0x00,0x10	"ECU安装日期:"
0x06,0xC0,0x00,0x0F	"ECU刷写日期:"
0x06,0xC0,0x00,0x0E	"ECU刷写维修店代号或设备号:"
0x06,0xC0,0x00,0x0D	"ECU软件版本号:"
0x06,0xC0,0x00,0x0C	"ECU软件号:"
0x06,0xC0,0x00,0x0B	"ECU硬件版本号:"
0x06,0xC0,0x00,0x0A	"ECU硬件号:"
0x06,0xC0,0x00,0x09	"车辆识别号（VIN码）:"
0x06,0xC0,0x00,0x08	"ECU序列号:"
0x06,0xC0,0x00,0x07	"ECU生产日期:"
0x06,0xC0,0x00,0x06	"供应商代码:"
0x06,0xC0,0x00,0x05	"Geely软件版本号:"
0x06,0xC0,0x00,0x04	"零件号:"
0x06,0xC0,0x00,0x03	"驱动层软件版本:"
0x06,0xC0,0x00,0x02	"车辆名称:"
0x06,0xC0,0x00,0x01	"读版本信息"
0x06,0xC0,0x70,0x07	"清除标定角度失败!"
0x06,0xC0,0x70,0x06	"写入标定角度失败!"
0x06,0xC0,0x70,0x05	"写入标定角度成功"
0x06,0xC0,0x70,0x04	"请再次输入标定角度(单位:°)"
0x06,0xC0,0x70,0x03	"是否进行标定角度？"
0x06,0xC0,0x70,0x02	"请输入标定角度(单位:°)"
0x06,0xC0,0x70,0x01	"标定角度"
0x06,0xC0,0x40,0x03	"定子温度"
0x06,0xC0,0x40,0x02	"冷却泵控制"
0x06,0xC0,0x40,0x01	"紧急关断标志位"
0x06,0xDC,0x51,0x0B	"标定状态:未知数据"
0x06,0xDC,0x51,0x0A	"例程开启:未知数据"
0x06,0xDC,0x51,0x09	"刹车踏板传感器标定失败"
0x06,0xDC,0x51,0x08	"例程执行完,失败"
0x06,0xDC,0x51,0x07	"例程执行完成并成功"
0x06,0xDC,0x51,0x06	"例程在执行"
0x06,0xDC,0x51,0x05	"启动例程检查未成功"
0x06,0xDC,0x51,0x04	"例程开启在执行中"
0x06,0xDC,0x51,0x03	"例程开启失败"
0x06,0xDC,0x51,0x02	"例程开启成功"
0x06,0xDC,0x51,0x01	"是否开启刹车踏板传感器标定?\n点击[是]执行,点击[否]退出"
0x06,0xDC,0x51,0x00	"未知状态"
0x06,0xDB,0x01,0x2F	"自动停止"
0x06,0xDB,0x01,0x2E	"运行"
0x06,0xDB,0x01,0x2D	"发动机重启"
0x06,0xDB,0x01,0x2C	"启动机重启"
0x06,0xDB,0x01,0x2B	"已停止"
0x06,0xDB,0x01,0x2A	"待命中"
0x06,0xDB,0x01,0x29	"未工作"
0x06,0xDB,0x01,0x28	"折扣助力"
0x06,0xDB,0x01,0x27	"无助力"
0x06,0xDB,0x01,0x26	"正常助力"
0x06,0xDB,0x01,0x25	"错误值"
0x06,0xDB,0x01,0x24	"后运行状态"
0x06,0xDB,0x01,0x23	"有助力状态"
0x06,0xDB,0x01,0x22	"无助力状态"
0x06,0xDB,0x01,0x21	"预助力状态"
0x06,0xDB,0x01,0x20	"上电状态"
0x06,0xDB,0x01,0x1F	"网络管理状态"
0x06,0xDB,0x01,0x1E	"下电状态"
0x06,0xDB,0x01,0x1D	"学习完了"
0x06,0xDB,0x01,0x1C	"预学习"
0x06,0xDB,0x01,0x1B	"未学习"
0x06,0xDB,0x01,0x1A	"未定义"
0x06,0xDB,0x01,0x19	"错误状态"
0x06,0xDB,0x01,0x18	"正在停止"
0x06,0xDB,0x01,0x17	"运行中"
0x06,0xDB,0x01,0x16	"启动中"
0x06,0xDB,0x01,0x15	"停止"
0x06,0xDB,0x01,0x14	"数据流"
0x06,0xDA,0xB0,0x07	"D"
0x06,0xDA,0xB0,0x06	"N"
0x06,0xDA,0xB0,0x05	"R"
0x06,0xDA,0xB0,0x04	"P"
0x06,0xDA,0xB0,0x03	"ON"
0x06,0xDA,0xB0,0x02	"OFF"
0x06,0xDA,0xAA,0x07	"invalid"
0x06,0xDA,0xAA,0x06	"Virgin"
0x06,0xDA,0xAA,0x05	"Learnt"
0x06,0xDA,0xAA,0x04	"Off"
0x06,0xDA,0xAA,0x03	"On"
0x06,0xDA,0xAA,0x02	"数据流"
0x06,0xDA,0x90,0x13	"骆驼55D23L电池"
0x06,0xDA,0x90,0x0E	"骆驼EFB电池"
0x06,0xDA,0x90,0x0D	"骆驼EFB电池"
0x06,0xDA,0x90,0x0C	"骆驼EFB电池"
0x06,0xDA,0x90,0x0B	"骆驼EFB电池"
0x06,0xDA,0x90,0x08	"无效电池"
0x06,0xDA,0x90,0x07	"写入失败，当前蓄电池型号是:"
0x06,0xDA,0x90,0x06	"写入成功，当前蓄电池型号是:"
0x06,0xDA,0x90,0x05	"骆驼55D23L电池"
0x06,0xDA,0x90,0x04	"骆驼EFB电池"
0x06,0xDA,0x90,0x03	"请选择蓄电池型号:\n蓄电池型号如果是骆驼EFB，点击‘是’。\n蓄电池型号如果是骆驼55D23L，点击‘否’"
0x06,0xDA,0x90,0x02	"删除防盗匹配完成，请确认"
0x06,0xDA,0x90,0x01	"请将点火钥匙打到OFF状态，3S后再启动发动机"
0x06,0xDA,0x30,0x1A	"真空泵"
0x06,0xDA,0x30,0x19	"启动继电器1"
0x06,0xDA,0x30,0x18	"启动电机"
0x06,0xDA,0x30,0x17	"发电机命令"
0x06,0xDA,0x30,0x16	"主继电器"
0x06,0xDA,0x30,0x15	"油泵控制PWM"
0x06,0xDA,0x30,0x14	"上游氧传感器加热2"
0x06,0xDA,0x30,0x13	"下游氧传感器加热2"
0x06,0xDA,0x30,0x12	"上游氧传感器加热1"
0x06,0xDA,0x30,0x11	"下游氧传感器加热1"
0x06,0xDA,0x30,0x10	"机油泵"
0x06,0xDA,0x30,0x0F	"空调离合器"
0x06,0xDA,0x30,0x0E	"怠速"
0x06,0xDA,0x30,0x0D	"排气凸轮控制 bank2"
0x06,0xDA,0x30,0x0C	"进气凸轮控制 bank2"
0x06,0xDA,0x30,0x0B	"容量控制阀"
0x06,0xDA,0x30,0x0A	"冷却水泵"
0x06,0xDA,0x30,0x09	"增压器泄压阀"
0x06,0xDA,0x30,0x08	"增压器压力电磁阀"
0x06,0xDA,0x30,0x07	"排气凸轮控制"
0x06,0xDA,0x30,0x06	"进气凸轮控制"
0x06,0xDA,0x30,0x05	"节气门"
0x06,0xDA,0x30,0x04	"冷却风扇继电器2"
0x06,0xDA,0x30,0x03	"冷却风扇继电器1"
0x06,0xDA,0x30,0x02	"油泵继电器"
0x06,0xDA,0x30,0x01	"碳罐阀"
0x06,0xDA,0x70,0x38	"LEOCH H6"
0x06,0xDA,0x70,0x30	"LEOCH H7"
0x06,0xDA,0x70,0x28	"LEOCH H6"
0x06,0xDA,0x70,0x20	"CAMEL 85D26L"
0x06,0xDA,0x70,0x18	"LEOCH D26-75-660-L"
0x06,0xDA,0x70,0x16	"起动成功，请熄火"
0x06,0xDA,0x70,0x15	"发动机是否已经启动\n成功点击[是],失败点击[否]"
0x06,0xDA,0x70,0x14	"请将钥匙打到Crank档，起动车辆"
0x06,0xDA,0x70,0x13	"是否抑制48V起动强制12V起动\n点击[是]执行,点击[否]退出"
0x06,0xDA,0x70,0x12	"抑制48V起动强制12V起动"
0x06,0xDA,0x70,0x11	"EMS禁止充电模式"
0x06,0xDA,0x70,0x10	"CAMEL 55D23L"
0x06,0xDA,0x70,0x08	"CAMEL Q-65 "
0x06,0xDA,0x70,0x01	"电池配置码为:"
0x06,0xDA,0x70,0x00	"欲写入的电池配置码选择"
0x06,0xDA,0x70,0x70	"CAMEL T6"
0x06,0xDA,0x70,0x68	"LEOCH 55519"
0x06,0xDA,0x70,0x60	"CAMEL 55519"
0x06,0xDA,0x70,0x58	"LEOCH H5"
0x06,0xDA,0x70,0x50	"CAMEL 559064"
0x06,0xDA,0x70,0x48	"CAMEL 560057"
0x06,0xDA,0x70,0x40	"LEOCH H5"
0x06,0xDA,0x52,0x01	"蓄电池传感器未配置"
0x06,0xDA,0x53,0x03	"R档"
0x06,0xDA,0x53,0x02	"D档"
0x06,0xDA,0x53,0x01	"P/N档"
0x06,0xDA,0x50,0x03	"打开点火开关至ON档,发动机不启动"
0x06,0xDA,0x50,0x02	"读电池传感器配置信息"
0x06,0xDA,0x50,0x01	"写电池传感器配置信息"
0x06,0xDA,0x51,0x04	"电池传感器配置失败"
0x06,0xDA,0x51,0x03	"电池传感器配置成功"
0x06,0xDA,0x51,0x02	"骆驼蓄电池"
0x06,0xDA,0x51,0x01	"理士蓄电池"
0x06,0xD9,0xC0,0x03	"面板刷写"
0x06,0xD9,0xC0,0x02	"球头刷写"
0x06,0xD9,0xC0,0x01	"电子换挡器刷写"
0x06,0xD8,0x60,0x25	"未知状态"
0x06,0xD8,0x60,0x24	"已标定，以前标定过"
0x06,0xD8,0x60,0x23	"未标定，以前标定过"
0x06,0xD8,0x60,0x22	"已标定，以前未标定过"
0x06,0xD8,0x60,0x21	"未标定，以前未标定过"
0x06,0xD8,0x60,0x14	"座椅标定成功"
0x06,0xD8,0x60,0x13	"操作失败,未知原因"
0x06,0xD8,0x60,0x12	"标定失败,点击[确定]后退出"
0x06,0xD8,0x60,0x11	"标定成功,点击[确定]后读取标定状态"
0x06,0xD8,0x60,0x04	"座椅高度标定状态和标定历史："
0x06,0xD8,0x60,0x03	"座椅前部高度标定状态和标定历史："
0x06,0xD8,0x60,0x02	"座椅靠背标定状态和标定历史："
0x06,0xD8,0x60,0x01	"座椅前后标定状态和标定历史："
0x06,0xD8,0x60,0x00	"座椅标定"
0x06,0xD8,0x61,0x11	"方向盘标定成功"
0x06,0xD8,0x61,0x02	"方向盘伸缩标定状态和标定历史："
0x06,0xD8,0x61,0x01	"方向盘前后标定状态和标定历史："
0x06,0xD8,0x61,0x00	"方向盘调节标定"
0x06,0xD8,0x50,0x02	"清码失败"
0x06,0xD8,0x50,0x01	"清码成功"
0x06,0xD8,0x50,0x00	"清除故障码"
0x06,0xD7,0x82,0x0A	"学习钥匙数:"
0x06,0xD7,0x82,0x09	"钥匙学习状态查询,未定义的回复数据"
0x06,0xD7,0x82,0x08	"钥匙学习中..."
0x06,0xD7,0x82,0x07	"钥匙学习失败"
0x06,0xD7,0x82,0x06	"钥匙学习成功"
0x06,0xD7,0x82,0x05	"例程开启失败"
0x06,0xD7,0x82,0x04	"例程开启成功"
0x06,0xD7,0x82,0x03	"钥匙已学满,无法再学习钥匙"
0x06,0xD7,0x82,0x02	"写入ESK失败"
0x06,0xD7,0x82,0x01	"是否进行智能钥匙学习?"
0x06,0xD7,0x80,0x02	"是否进行遥控学习钥匙？"
0x06,0xD7,0x80,0x01	"遥控学习钥匙"
0x06,0xD7,0x81,0x10	"钥匙学习中，请等待..."
0x06,0xD7,0x81,0x09	"是否再添加一把钥匙？"
0x06,0xD7,0x81,0x08	"未找到学习钥匙"
0x06,0xD7,0x81,0x07	"学习钥匙成功"
0x06,0xD7,0x81,0x06	"请同时按下解锁键和后备箱开启健,并且长按2秒"
0x06,0xD7,0x81,0x05	"遥控钥匙已经学习："
0x06,0xD7,0x81,0x04	"钥匙按压解锁键一次"
0x06,0xD7,0x81,0x03	"启动失败，未知原因"
0x06,0xD7,0x81,0x02	"启动失败"
0x06,0xD7,0x81,0x01	"启动成功"
0x06,0xD7,0x81,0x00	"学习钥匙"
0x06,0xD7,0xFF,0x03	"防盗匹配相关状态"
0x06,0xD7,0xFF,0x02	"胎压信息"
0x06,0xD7,0xFF,0x01	"网络节点配置信息"
0x06,0xD7,0x50,0x02	"胎压未匹配/匹配失败"
0x06,0xD7,0x50,0x01	"胎压匹配成功"
0x06,0xD6,0x31,0x10	"正常模式"
0x06,0xD6,0x31,0x0F	"工厂模式"
0x06,0xD6,0x31,0x0E	"标定完成"
0x06,0xD6,0x31,0x0D	"标定失败"
0x06,0xD6,0x31,0x0C	"出厂状态"
0x06,0xD6,0x31,0x0B	"有人且有故障"
0x06,0xD6,0x31,0x0A	"没人且有故障"
0x06,0xD6,0x31,0x09	"有人且无故障"
0x06,0xD6,0x31,0x07	"没人且无故障"
0x06,0xD6,0x31,0x06	"抑制但有故障"
0x06,0xD6,0x31,0x05	"未抑制但有故障"
0x06,0xD6,0x31,0x04	"抑制且无故障"
0x06,0xD6,0x31,0x03	"未抑制且无故障"
0x06,0xD6,0x31,0x02	"未扣"
0x06,0xD6,0x31,0x01	"已扣"
0x06,0xD2,0x51,0x21	"未定义数据"
0x06,0xD2,0x51,0x20	"错误模式"
0x06,0xD2,0x51,0x1F	"升级模式"
0x06,0xD2,0x51,0x1E	"暂停视频"
0x06,0xD2,0x51,0x1D	"播放视频"
0x06,0xD2,0x51,0x1C	"照片浏览页"
0x06,0xD2,0x51,0x1B	"危险浏览页"
0x06,0xD2,0x51,0x1A	"紧急浏览页"
0x06,0xD2,0x51,0x19	"一般浏览页"
0x06,0xD2,0x51,0x18	"危险记录"
0x06,0xD2,0x51,0x17	"碰撞紧急记录"
0x06,0xD2,0x51,0x16	"用户请求紧急记录"
0x06,0xD2,0x51,0x15	"暂停记录"
0x06,0xD2,0x51,0x14	"正常记录"
0x06,0xD2,0x51,0x13	"初始化"
0x06,0xD2,0x51,0x12	"按下"
0x06,0xD2,0x51,0x11	"没有按下"
0x06,0xD2,0x51,0x10	"读数据流"
0x06,0xD2,0x51,0x0F	"ECU安装日期:"
0x06,0xD2,0x51,0x0E	"ECU刷写日期:"
0x06,0xD2,0x51,0x0D	"ECU刷写维修店代号或设备号:"
0x06,0xD2,0x51,0x0C	"ECU系统名称或发动机类型:"
0x06,0xD2,0x51,0x0B	"ECU软件版本号:"
0x06,0xD2,0x51,0x0A	"ECU硬件版本号:"
0x06,0xD2,0x51,0x09	"车辆识别号（VIN码）:"
0x06,0xD2,0x51,0x08	"ECU序列号:"
0x06,0xD2,0x51,0x07	"ECU生产日期:"
0x06,0xD2,0x51,0x06	"供应商代码:"
0x06,0xD2,0x51,0x05	"Geely软件版本号:"
0x06,0xD2,0x51,0x04	"零件号:"
0x06,0xD2,0x51,0x03	"刷新程序软件版本:"
0x06,0xD2,0x51,0x02	"车辆名称:"
0x06,0xD2,0x51,0x01	"读版本信息"
0x06,0xD1,0x75,0x01	"换挡拨片"
0x06,0xD1,0x52,0x08	"挡位模式无效"
0x06,0xD1,0x52,0x07	"Manual"
0x06,0xD1,0x52,0x06	"Auto"
0x06,0xD1,0x52,0x05	"Up-Up"
0x06,0xD1,0x52,0x04	"Up"
0x06,0xD1,0x52,0x03	"Center"
0x06,0xD1,0x52,0x02	"Down"
0x06,0xD1,0x52,0x01	"Down-Down"
0x06,0xD1,0x51,0x18	"激活"
0x06,0xD1,0x51,0x17	"电子换挡器探测位置"
0x06,0xD1,0x51,0x16	"换挡拨片未配置"
0x06,0xD1,0x51,0x15	"换挡拨片配置"
0x06,0xD1,0x51,0x14	"无效"
0x06,0xD1,0x51,0x13	"加档、减档同时激活"
0x06,0xD1,0x51,0x12	"减档激活"
0x06,0xD1,0x51,0x11	"加档激活"
0x06,0xD1,0x51,0x10	"未激活"
0x06,0xD1,0x51,0x0F	"未定义数据"
0x06,0xD1,0x51,0x0E	"按下"
0x06,0xD1,0x51,0x0D	"未按下"
0x06,0xD1,0x51,0x0C	"读数据流"
0x06,0xD1,0x51,0x0B	"ECU安装日期:"
0x06,0xD1,0x51,0x0A	"ECU软件版本号:"
0x06,0xD1,0x51,0x09	"ECU硬件版本号:"
0x06,0xD1,0x51,0x08	"车辆识别号（VIN码）:"
0x06,0xD1,0x51,0x07	"ECU序列号:"
0x06,0xD1,0x51,0x06	"ECU生产日期:"
0x06,0xD1,0x51,0x05	"供应商代码:"
0x06,0xD1,0x51,0x04	"Geely软件版本号:"
0x06,0xD1,0x51,0x03	"零件号:"
0x06,0xD1,0x51,0x02	"车辆名称:"
0x06,0xD1,0x51,0x01	"读版本信息"
0x06,0xD1,0x42,0x01	"请输入背景调整值\n 输入范围:0~100(单位:%)"
0x06,0xD1,0x40,0x02	"指示LED控制"
0x06,0xD1,0x40,0x01	"背景调整"
0x06,0xD1,0x41,0x08	"P档按钮指示灯"
0x06,0xD1,0x41,0x07	"M-档"
0x06,0xD1,0x41,0x06	"M+档"
0x06,0xD1,0x41,0x05	"M档"
0x06,0xD1,0x41,0x04	"D档"
0x06,0xD1,0x41,0x03	"N挡"
0x06,0xD1,0x41,0x02	"R档"
0x06,0xD1,0x41,0x01	"P档"
0x06,0xD0,0x11,0x04	"刷写DS0文件"
0x06,0xD0,0x11,0x03	"刷写ASW2文件"
0x06,0xD0,0x11,0x02	"刷写ASW1文件"
0x06,0xD0,0x11,0x01	"刷写ASW0文件"
0x06,0xD0,0x51,0x0C	"读数据流"
0x06,0xD0,0x51,0x0B	"ECU安装日期:"
0x06,0xD0,0x51,0x0A	"ECU软件版本号:"
0x06,0xD0,0x51,0x09	"ECU硬件版本号:"
0x06,0xD0,0x51,0x08	"车辆识别号（VIN码）:"
0x06,0xD0,0x51,0x07	"ECU序列号:"
0x06,0xD0,0x51,0x06	"ECU生产日期:"
0x06,0xD0,0x51,0x05	"供应商代码:"
0x06,0xD0,0x51,0x04	"Geely软件版本号:"
0x06,0xD0,0x51,0x03	"零件号:"
0x06,0xD0,0x51,0x02	"车辆名称:"
0x06,0xD0,0x51,0x01	"读版本信息"
0x07,0x2F,0x32,0x01	"是否进行一键配置功能？一键配置是从BCM获取配置代码，将获取的配置代码写入该系统。\n点击[是]进行一键配置，点击[否]退出一键配置。"
0x07,0x2F,0x30,0x04	"巡航"
0x07,0x2F,0x30,0x03	"陡坡缓降"
0x07,0x2F,0x30,0x02	"变速器类型"
0x07,0x2F,0x30,0x01	"雷达"
0x07,0x2F,0x31,0x13	"With ICC"
0x07,0x2F,0x31,0x12	"With ACC"
0x07,0x2F,0x31,0x11	"With Conventional CC"
0x07,0x2F,0x31,0x10	"Without Conventional CC"
0x07,0x2F,0x31,0x0F	"有"
0x07,0x2F,0x31,0x0E	"无"
0x07,0x2F,0x31,0x0D	"AMT"
0x07,0x2F,0x31,0x0C	"7DCT"
0x07,0x2F,0x31,0x0B	"6DCT"
0x07,0x2F,0x31,0x0A	"CVT"
0x07,0x2F,0x31,0x09	"AT"
0x07,0x2F,0x31,0x08	"MT"
0x07,0x2F,0x31,0x07	"前0后3雷达"
0x07,0x2F,0x31,0x06	"前0后4雷达"
0x07,0x2F,0x31,0x05	"前0后2雷达"
0x07,0x2F,0x31,0x04	"前6后6雷达"
0x07,0x2F,0x31,0x03	"前4后4雷达"
0x07,0x2F,0x31,0x02	"前2后4雷达"
0x07,0x2F,0x31,0x01	"无雷达"
0x07,0x2E,0x32,0x01	"是否进行一键配置功能？一键配置是从BCM获取配置代码，将获取的配置代码写入该系统。\n点击[是]进行一键配置，点击[否]退出一键配置。"
0x07,0x2E,0x30,0x02	"陡坡缓降"
0x07,0x2E,0x30,0x01	"变数器类型"
0x07,0x2E,0x31,0x05	"有"
0x07,0x2E,0x31,0x04	"无"
0x07,0x2E,0x31,0x03	"4EAT"
0x07,0x2E,0x31,0x02	"AT"
0x07,0x2E,0x31,0x01	"MT"
0x07,0x2E,0x20,0x04	"写功能配置代码-一键配置功能（仅适用ESC）"
0x07,0x2E,0x20,0x03	"写功能配置代码-选项输入（仅适用ESC）"
0x07,0x2E,0x20,0x02	"横摆角速度传感器标定（仅适用ESC）"
0x07,0x2E,0x20,0x01	"转向角标定（仅适用ESC）"
0x07,0x2D,0x10,0x08	"预留"
0x07,0x2D,0x10,0x07	"折扣助力"
0x07,0x2D,0x10,0x06	"无助力"
0x07,0x2D,0x10,0x05	"正常助力"
0x07,0x2D,0x10,0x04	"故障"
0x07,0x2D,0x10,0x03	"正在运行"
0x07,0x2D,0x10,0x02	"正在启动"
0x07,0x2D,0x10,0x01	"停止工作"
0x07,0x2C,0x01,0x24	"-"
0x07,0x2C,0x01,0x23	"+"
0x07,0x2C,0x01,0x22	"Output 4"
0x07,0x2C,0x01,0x21	"输入"
0x07,0x2C,0x01,0x20	"Output 3"
0x07,0x2C,0x01,0x1F	"Output 2"
0x07,0x2C,0x01,0x1E	"退出"
0x07,0x2C,0x01,0x1D	"Low"
0x07,0x2C,0x01,0x1C	"High"
0x07,0x2C,0x01,0x1B	"Output 1"
0x07,0x2C,0x01,0x1A	"否"
0x07,0x2C,0x01,0x19	"是"
0x07,0x2C,0x01,0x18	"已激活"
0x07,0x2C,0x01,0x17	"未激活"
0x07,0x2C,0x01,0x16	"未编程"
